-181.487, 31.561, 6.451, 14.569
-181.486, 31.346, 6.471, 14.602
-181.486, 31.129, 6.491, 14.635
-181.486, 30.912, 6.511, 14.668
-181.486, 30.695, 6.531, 14.701
-181.486, 30.477, 6.551, 14.734
-181.485, 30.258, 6.572, 14.767
-181.485, 30.038, 6.592, 14.800
-181.485, 29.818, 6.612, 14.833
-181.485, 29.597, 6.633, 14.866
-181.485, 29.375, 6.654, 14.899
-181.484, 29.153, 6.674, 14.932
-181.484, 28.930, 6.695, 14.965
-181.484, 28.706, 6.716, 14.998
-181.484, 28.481, 6.737, 15.031
-181.484, 28.256, 6.758, 15.064
-181.483, 28.030, 6.779, 15.097
-181.483, 27.804, 6.800, 15.130
-181.483, 27.576, 6.822, 15.163
-181.483, 27.348, 6.843, 15.196
-181.482, 27.120, 6.864, 15.229
-181.482, 26.890, 6.885, 15.262
-181.482, 26.660, 6.906, 15.295
-181.481, 26.430, 6.927, 15.328
-181.481, 26.198, 6.949, 15.361
-181.481, 25.966, 6.970, 15.394
-181.481, 25.733, 6.992, 15.427
-181.480, 25.499, 7.013, 15.460
-181.480, 25.265, 7.035, 15.493
-181.480, 25.030, 7.057, 15.526
-181.480, 24.794, 7.079, 15.559
-181.479, 24.557, 7.101, 15.592
-181.479, 24.320, 7.124, 15.625
-181.479, 24.082, 7.146, 15.658
-181.478, 23.843, 7.169, 15.691
-181.478, 23.604, 7.192, 15.724
-181.478, 23.363, 7.215, 15.757
-181.477, 23.122, 7.238, 15.790
-181.477, 22.880, 7.261, 15.823
-181.477, 22.637, 7.284, 15.856
-181.476, 22.394, 7.308, 15.889
-181.476, 22.150, 7.331, 15.922
-181.476, 21.905, 7.354, 15.955
-181.475, 21.659, 7.378, 15.988
-181.475, 21.413, 7.402, 16.021
-181.474, 21.165, 7.426, 16.054
-181.474, 20.917, 7.450, 16.087
-181.474, 20.668, 7.474, 16.120
-181.473, 20.418, 7.498, 16.153
-181.473, 20.168, 7.523, 16.186
-181.472, 19.916, 7.547, 16.219
-181.472, 19.664, 7.572, 16.252
-181.472, 19.411, 7.596, 16.285
-181.471, 19.157, 7.621, 16.318
-181.471, 18.903, 7.645, 16.351
-181.470, 18.647, 7.670, 16.384
-181.470, 18.391, 7.695, 16.417
-181.470, 18.134, 7.719, 16.450
-181.469, 17.876, 7.744, 16.483
-181.469, 17.617, 7.769, 16.516
-181.468, 17.357, 7.795, 16.549
-181.468, 17.097, 7.820, 16.582
-181.467, 16.836, 7.845, 16.615
-181.467, 16.573, 7.871, 16.648
-181.466, 16.310, 7.896, 16.681
-181.466, 16.046, 7.922, 16.714
-181.465, 15.782, 7.948, 16.747
-181.465, 15.516, 7.974, 16.780
-181.464, 15.250, 8.000, 16.813
-181.464, 14.982, 8.026, 16.846
-181.463, 14.714, 8.053, 16.879
-181.463, 14.445, 8.079, 16.912
-181.462, 14.175, 8.106, 16.945
-181.462, 13.904, 8.133, 16.978
-181.461, 13.632, 8.160, 17.011
-181.461, 13.360, 8.187, 17.044
-181.460, 13.086, 8.214, 17.077
-181.460, 12.812, 8.242, 17.110
-181.459, 12.536, 8.269, 17.143
-181.459, 12.260, 8.297, 17.176
-181.458, 11.983, 8.324, 17.209
-181.457, 11.704, 8.352, 17.242
-181.457, 11.425, 8.380, 17.275
-181.456, 11.145, 8.408, 17.308
-181.456, 10.864, 8.436, 17.341
-181.455, 10.582, 8.465, 17.374
-181.454, 10.299, 8.493, 17.407
-181.454, 10.016, 8.522, 17.440
-181.453, 9.731, 8.550, 17.473
-181.453, 9.445, 8.579, 17.506
-181.452, 9.158, 8.608, 17.539
-181.451, 8.871, 8.637, 17.572
-181.451, 8.582, 8.666, 17.605
-181.450, 8.292, 8.695, 17.638
-181.449, 8.002, 8.725, 17.671
-181.449, 7.710, 8.754, 17.704
-181.448, 7.418, 8.784, 17.737
-181.447, 7.124, 8.813, 17.770
-181.447, 6.830, 8.843, 17.803
-181.446, 6.534, 8.873, 17.836
-181.445, 6.238, 8.903, 17.869
-181.444, 5.940, 8.933, 17.902
-181.444, 5.641, 8.963, 17.935
-181.443, 5.342, 8.994, 17.968
-181.442, 5.041, 9.024, 18.001
-181.441, 4.740, 9.055, 18.034
-181.441, 4.437, 9.086, 18.067
-181.440, 4.134, 9.116, 18.100
-181.439, 3.829, 9.147, 18.133
-181.438, 3.523, 9.178, 18.166
-181.438, 3.216, 9.209, 18.199
-181.437, 2.909, 9.240, 18.232
-181.436, 2.600, 9.272, 18.265
-181.435, 2.290, 9.303, 18.298
-181.434, 1.979, 9.334, 18.331
-181.434, 1.667, 9.366, 18.364
-181.433, 1.354, 9.398, 18.397
-181.432, 1.040, 9.430, 18.430
-181.431, 0.725, 9.462, 18.463
-181.430, 0.409, 9.494, 18.496
-181.429, 0.092, 9.526, 18.529
-181.428, -0.227, 9.558, 18.562
-181.428, -0.546, 9.590, 18.595
-181.427, -0.867, 9.623, 18.628
-181.426, -1.188, 9.656, 18.661
-181.425, -1.511, 9.688, 18.694
-181.424, -1.835, 9.721, 18.727
-181.423, -2.160, 9.754, 18.760
-181.422, -2.486, 9.787, 18.793
-181.421, -2.813, 9.820, 18.826
-181.420, -3.141, 9.854, 18.859
-181.419, -3.470, 9.887, 18.892
-181.418, -3.801, 9.921, 18.925
-181.417, -4.132, 9.954, 18.958
-181.416, -4.465, 9.988, 18.991
-181.415, -4.799, 10.022, 19.024
-181.414, -5.134, 10.056, 19.057
-181.413, -5.470, 10.090, 19.090
-181.412, -5.807, 10.124, 19.123
-181.411, -6.145, 10.159, 19.156
-181.410, -6.485, 10.193, 19.189
-181.409, -6.825, 10.228, 19.222
-181.408, -7.167, 10.262, 19.255
-181.407, -7.510, 10.297, 19.288
-181.406, -7.854, 10.332, 19.321
-181.405, -8.199, 10.367, 19.354
-181.404, -8.546, 10.402, 19.387
-181.403, -8.894, 10.437, 19.420
-181.401, -9.242, 10.473, 19.453
-181.400, -9.592, 10.508, 19.486
-181.399, -9.944, 10.544, 19.519
-181.398, -10.296, 10.580, 19.552
